timestamp,signal_strength,power_level,temperature,cpu_usage,latitude,longitude,communication_status,attack_type,severity,incident_id,command_source
2026-06-08 07:10:00.908970,93,77,31,53,24.893167,67.040827,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:06.044323,10,78,30,59,24.840547,67.084459,DEGRADED,RF_JAMMING,HIGH,INC-1,AUTHORIZED
2026-06-08 07:10:11.061954,91,79,31,51,24.820158,67.020488,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:16.067455,89,73,25,56,24.865666,67.099441,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:21.070938,86,70,24,50,24.820909,67.031704,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:26.076086,90,77,30,32,40.534769,38.585115,SUSPICIOUS,GPS_SPOOFING,HIGH,INC-2,AUTHORIZED
2026-06-08 07:10:31.079903,90,85,22,41,24.882765,67.0793,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:36.082456,95,80,33,54,24.830518,67.068242,CRITICAL,UNAUTHORIZED_COMMAND,CRITICAL,INC-3,ATTACKER
2026-06-08 07:10:41.085564,97,87,34,60,24.864031,67.015972,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:46.093161,96,71,35,55,24.875776,67.060379,CRITICAL,UNAUTHORIZED_COMMAND,CRITICAL,INC-4,ATTACKER
2026-06-08 07:10:51.095952,88,70,25,38,24.816094,67.026249,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:10:56.099579,85,85,25,49,24.838786,67.033717,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:01.108852,25,72,33,46,24.81488,67.016541,DEGRADED,RF_JAMMING,HIGH,INC-5,AUTHORIZED
2026-06-08 07:11:06.111637,7,75,30,49,24.886925,67.094347,DEGRADED,RF_JAMMING,HIGH,INC-6,AUTHORIZED
2026-06-08 07:11:11.113962,89,89,21,46,24.824044,67.074864,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:16.117240,99,75,27,37,24.813896,67.061028,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:21.126874,88,86,23,37,24.805683,67.063168,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:26.135820,99,90,32,44,24.812927,67.075168,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:31.144730,85,85,25,31,24.856937,67.065151,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:36.148331,87,85,30,55,24.807491,67.068514,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:11:41.157186,96,74,21,54,48.761668,34.044123,SUSPICIOUS,GPS_SPOOFING,HIGH,INC-7,AUTHORIZED
2026-06-08 07:11:46.165337,89,77,34,38,51.366499,45.755787,SUSPICIOUS,GPS_SPOOFING,HIGH,INC-8,AUTHORIZED
2026-06-08 07:11:51.187510,17,83,23,33,24.838769,67.034679,DEGRADED,RF_JAMMING,HIGH,INC-9,AUTHORIZED
2026-06-08 07:11:56.190038,88,82,35,53,24.876646,67.002742,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:01.194850,93,79,25,52,24.806952,67.024979,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:06.199976,98,77,25,32,24.860864,67.086944,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:11.208574,86,90,26,33,24.892678,67.072204,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:16.212001,99,80,33,43,24.894932,67.08804,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:21.214622,95,83,23,50,24.835346,67.035403,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
2026-06-08 07:12:26.222869,94,79,28,30,24.883145,67.024946,NORMAL,NORMAL,LOW,NONE,AUTHORIZED
